CHAMP_YEAR,DIVISION,EVENT,SEX,TIME_SECS_AVG,TIME_SECS_SCALED,TREAT,AFTER,TREAT_AFTER
2010,D1,100,Men,10.375700000000004,1.0,0,False,0
2011,D1,100,Men,10.3272,0.9953256165849047,0,False,0
2012,D1,100,Men,10.319199999999997,0.9945545842690126,0,False,0
2013,D1,100,Men,10.345300000000003,0.9970700771996106,0,False,0
2014,D1,100,Men,10.307999999999987,0.9934751390267629,0,False,0
2015,D1,100,Men,10.2914,0.9918752469712883,0,False,0
2016,D1,100,Men,10.311199999999996,0.9937835519531205,0,False,0
2017,D1,100,Men,10.241799999999998,0.9870948466127581,0,False,0
2018,D1,100,Men,10.252400000000007,0.9881164644313157,0,False,0
2019,D1,100,Men,10.252500000000003,0.9881261023352641,0,False,0
2021,D1,100,Men,10.239100000000002,0.986834623206145,0,True,0
2010,D1,100,Women,11.524000000000006,1.0,0,False,0
2011,D1,100,Women,11.426100000000003,0.9915046858729606,0,False,0
2012,D1,100,Women,11.4723,0.9955137105171811,0,False,0
2013,D1,100,Women,11.466800000000005,0.9950364456785836,0,False,0
2014,D1,100,Women,11.446099999999996,0.9932401943769515,0,False,0
2015,D1,100,Women,11.429899999999993,0.991834432488718,0,False,0
2016,D1,100,Women,11.388600000000004,0.9882506074279762,0,False,0
2017,D1,100,Women,11.365300000000007,0.9862287400208262,0,False,0
2018,D1,100,Women,11.305299999999999,0.9810222145088505,0,False,0
2019,D1,100,Women,11.39029999999999,0.9883981256508142,0,False,0
2021,D1,100,Women,11.360699999999994,0.985829573064907,0,True,0
2010,D1,10000,Men,1758.4778,1.0,1,False,0
2011,D1,10000,Men,1763.7108999999996,1.0029759261106395,1,False,0
2012,D1,10000,Men,1757.632,0.9995190158215248,1,False,0
2013,D1,10000,Men,1766.8601,1.004766793188973,1,False,0
2014,D1,10000,Men,1754.0795,0.9974988026576168,1,False,0
2015,D1,10000,Men,1756.9219999999998,0.9991152575255712,1,False,0
2016,D1,10000,Men,1759.0130000000008,1.0003043541408376,1,False,0
2017,D1,10000,Men,1755.5072000000002,0.9983106980366772,1,False,0
2018,D1,10000,Men,1756.5549999999996,0.9989065542937191,1,False,0
2019,D1,10000,Men,1746.852699999999,0.9933891118784662,1,False,0
2021,D1,10000,Men,1732.0590999999997,0.9849763812770339,1,True,1
2010,D1,10000,Women,2074.2542999999996,1.0,1,False,0
2011,D1,10000,Women,2063.2186000000006,0.9946796783788762,1,False,0
2012,D1,10000,Women,2054.1848,0.9903244746798887,1,False,0
2013,D1,10000,Women,2055.453200000001,0.9909359715440875,1,False,0
2014,D1,10000,Women,2043.650100000001,0.985245685642306,1,False,0
2015,D1,10000,Women,2043.1394999999998,0.9849995248894989,1,False,0
2016,D1,10000,Women,2048.2688999999987,0.9874724135801474,1,False,0
2017,D1,10000,Women,2044.4388000000004,0.9856259186735208,1,False,0
2018,D1,10000,Women,2038.5408999999997,0.9827825353911525,1,False,0
2019,D1,10000,Women,2028.7484,0.9780615616899048,1,False,0
