POSITION,CHAMP_YEAR,DIVISION,EVENT,SEX,ATHLETE,YEAR,TEAM,TIME,TIME_SECS,MARK,CONV,POINTS,MEET,MEET DATE
1,2010,D1,100,Men,"Rowland, Marcus",SR-4,Auburn,10:03,10.03,,,,Auburn Tiger Track Classic,"Apr 2, 2010"
1,2010,D1,100,Men,"Williams, Teddy",SR-4,UTSA,10:03,10.03,,,,Southland Conference Outdoor Championships,"May 14, 2010"
3,2010,D1,100,Men,"Demps, Jeff",SR-4,Florida,10:06,10.06,,,,SEC Outdoor Track & Field Championships,"May 13, 2010"
4,2010,D1,100,Men,"Rashad, Ahmad",SR-4,USC,10:08,10.08,,,,52nd Annual Mt. SAC Relays,"Apr 15, 2010"
5,2010,D1,100,Men,"Mitchell, Maurice",SO-2,Florida State,10:11,10.11,,,,ACC Outdoor Championships,"Apr 15, 2010"
6,2010,D1,100,Men,"Phiri, Gerald",JR-3,Texas A&M,10:13,10.13,,,,Big 12 Championships,"May 14, 2010"
6,2010,D1,100,Men,"Walker, Justin",,Northwestern St.,10:13,10.13,,,,Northwestern State Invitational,"May 1, 2010"
8,2010,D1,100,Men,"Gray, Cordero",SR-4,Texas-Arlington,10:16,10.16,,,,Southland Conference Outdoor Championships,"May 14, 2010"
9,2010,D1,100,Men,"Adams, Harry",,Auburn,10:17,10.17,,,,Georgia Tech Yellow Jacket Invitational,"Mar 26, 2010"
9,2010,D1,100,Men,"Young, Javon",SO-2,Charleston Southern,10:17,10.17,,,,2010 Florida Relays,"Apr 2, 2010"
11,2010,D1,100,Men,"Eaton, Ashton",SR-4,Oregon,10:19,10.19,,,,Pac-10 Track & Field Championships,"May 15, 2010"
11,2010,D1,100,Men,"Sorrillo, Rondel",SR-4,Kentucky,10:19,10.19,,,,SEC Outdoor Track & Field Championships,"May 13, 2010"
13,2010,D1,100,Men,"Alaka, James",FR-1,Washington,10:22,10.22,,,,UW vs. WSU,"May 1, 2010"
13,2010,D1,100,Men,"Ambrose, Luther",SR-4,UL-Monroe,10:22,10.22,,,,2010 Clyde Littlefield Texas Relays,"Mar 31, 2010"
15,2010,D1,100,Men,"Grover, Shannon",SR-4,SE Louisiana,10:24,10.24,,,,Northwestern State Invitational,"May 1, 2010"
15,2010,D1,100,Men,"Wells, Evander",SR-4,Tennessee,10:24,10.24,,,,SEC Outdoor Track & Field Championships,"May 13, 2010"
17,2010,D1,100,Men,"Salaam, Rakieem",JR-3,Oklahoma,10:25,10.25,,,,Big 12 Championships,"May 14, 2010"
18,2010,D1,100,Men,"Monal, Duronal",SR-4,East Tenn. St.,10:26,10.26,,,,Tennessee Invitational,"May 8, 2010"
19,2010,D1,100,Men,"Silmon, Charles",SR-4,TCU,10:27,10.27,,,,Mountain West Outdoor Track & Field Championships,"May 12, 2010"
19,2010,D1,100,Men,"Newman, Calesio",SR-4,N. Carolina A&T,10:27,10.27,,,,MEAC Outdoor Championships,"May 6, 2010"
21,2010,D1,100,Men,"Juin, Jonathan",,Mississippi,10:28,10.28,,,,2010 Florida Relays,"Apr 2, 2010"
22,2010,D1,100,Men,"Granger, Michael",,Mississippi,10:29,10.29,,,,SEC Outdoor Track & Field Championships,"May 13, 2010"
23,2010,D1,100,Men,"Henderson, Markus",SR-4,Texas Tech,10:30,10.3,,,,Texas Tech vs. Nebraska Dual Meet,"May 1, 2010"
23,2010,D1,100,Men,"Arajs, Ronalds",SR-4,UTEP,10:30,10.3,,,,Conference USA Outdoor Championships,"May 13, 2010"
1,2010,D1,100,Women,"Okagbare, Blessing",SR-4,UTEP,11:10,11.1,,,,2010 Clyde Littlefield Texas Relays,"Mar 31, 2010"
2,2010,D1,100,Women,"Pemberton, Marecia",FR-1,Florida State,11:12,11.12,,,,ACC Outdoor Championships,"Apr 15, 2010"
3,2010,D1,100,Women,"Mayo, Gabby",JR-3,Texas A&M,11:13,11.13,,,,2010 Clyde Littlefield Texas Relays,"Mar 31, 2010"
4,2010,D1,100,Women,"Henry, Samantha",SR-4,LSU,11:18,11.18,,,,2010 Clyde Littlefield Texas Relays,"Mar 31, 2010"
5,2010,D1,100,Women,"Ferguson, Sheniqua",SR-4,Auburn,11:19,11.19,,,,SEC Outdoor Track & Field Championships,"May 13, 2010"
5,2010,D1,100,Women,"Tarmoh, Jeneba",SO-2,Texas A&M,11:19,11.19,,,,Big 12 Championships,"May 14, 2010"
7,2010,D1,100,Women,"Evans, Terra",SR-4,Texas Tech,11:22,11.22,,,,Texas Tech Open,"Mar 26, 2010"
8,2010,D1,100,Women,"Kendrick, Stormy",JR-3,Clemson,11:25,11.25,,,,ACC Outdoor Championships,"Apr 15, 2010"
9,2010,D1,100,Women,"Pinckney, Takeia",SO-2,LSU,11:26,11.26,,,,SEC Outdoor Track & Field Championships,"May 13, 2010"
10,2010,D1,100,Women,"Miller, Scottesha",SR-4,Oklahoma,11:30,11.3,,,,Sooner Invitational,"Apr 23, 2010"
11,2010,D1,100,Women,"Brookins, Lakya",SR-4,South Carolina,11:31,11.31,,,,2010 International Friendship & Freedom Game,"Apr 17, 2010"
12,2010,D1,100,Women,"Greaves, Shavon",JR-3,Penn State,11:33,11.33,,,,2010 Florida Relays,"Apr 2, 2010"
13,2010,D1,100,Women,"Rodgers, Teona",JR-3,Florida State,11:34,11.34,,,,ACC Outdoor Championships,"Apr 15, 2010"
13,2010,D1,100,Women,"Wilson, Kenyanna",SR-4,LSU,11:34,11.34,,,,Miami Hurricane Alumni Invitational,"Apr 10, 2010"
15,2010,D1,100,Women,"Townsend, Tiffany",SR-4,Baylor,11:35,11.35,,,,Big 12 Championships,"May 14, 2010"
